Nachname,Vorname,Antwort 8,Antwort 9,Antwort 10,Antwort 11
Name_6,VName_6,"public class Menu {
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch(eingabe){
			case 't':
				Terminal.println(""Wir moegen dich auch."");
				break;
			case 's':
				Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
				break;
			case 'l':
				Terminal.println(""Giovanni, lernst du Programmieren?"");
				break;
			default:
				Terminal.println(""Das stand gar nicht zur Auswahl."");
		}
	}
}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        for(int i=1;i<=height;i++){
            for(int j=0;j<height-i;j++){
                Terminal.print("" "");
            }
            for(int j=0;j<i*2;j++){
                Terminal.print(""*"");
            }
            Terminal.print(""\n"");
        }
    }
}","public class LeapYear {
  public static void main(String[] args){
    int Jahr=Terminal.askInt(""Bitte Jahreszahl eingeben. "");
    if ((Jahr%400==0)||(Jahr%4==0 && Jahr%100!=0)){
      Terminal.println(""Das Jahr ""+Jahr+"" ist ein Schaltjahr."");
    }else{
      Terminal.println(""Das Jahr ""+Jahr+"" ist kein Schaltjahr."");
    }
  }
}","public class Loops {

    public static void main(String[] args) {
        for(int i=getCount();i>0;i=getCount()){
            countdown(i);
        }
    }

    public static void countdown(int c) {
        while(c>=1){
            Terminal.println(c);
            c--;
        }
        Terminal.println(""Start!"");
    }

    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
}"
Name_96,VName_96,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch(eingabe) {
			case 't':
			Terminal.println(""Wir moegen dich auch."");
			break;
			
		    case 's': 
		    Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
			break;
			
			case 'l':
			Terminal.println(""Giovanni, lernst du Programmieren?"");
			break;
		
			default:
			Terminal.println(""Das stand gar nicht zur Auswahl."");
		}
	}

}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        
        for(int i = 1; i <= height; i++) {
            
            for(int j = 0; j < height-i; j++) {
                Terminal.print("" "");
                
            }
            
            for(int j = 0; j < i*2; j++) {
                Terminal.print(""*"");
                
            }
            Terminal.print(""\n"");
            
        }
    }
}","public class LeapYear {
    public static void main(String[] args) {
		int jahr;
		
		jahr=Terminal.askInt(""Bitte Jahreszahl eingeben. "");
		if(jahr % 4 != 0){
			Terminal.print(""Das Jahr ""+jahr+"" ist kein Schaltjahr."");
		} else {
			if(jahr % 100 == 0 && jahr % 400 != 0){
				Terminal.print(""Das Jahr ""+jahr+"" ist kein Schaltjahr."");
			} else {
				Terminal.print(""Das Jahr ""+jahr+"" ist ein Schaltjahr."");
			}
		}
	}
}","public class Loops {
    
    public static void main(String[] args) {
		
		for(int zahl = getCount(); zahl > 0;)  {
		countdown(zahl);
		zahl = getCount();
		}
    }
    
    public static void countdown(int c) {
		while(c > 0){
			Terminal.print(c+""\n"");
			c--;
		}
		Terminal.print(""Start!\n"");
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_519,VName_519,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch(eingabe) {
			case 't':
				Terminal.println(""Wir moegen dich auch."");
				break;
			case 's':
				Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
				break;
			case 'l':
				Terminal.println(""Giovanni, lernst du Programmieren?"");
				break;
			default:
				Terminal.println(""Das stand gar nicht zur Auswahl."");
				break;
		}
	}
}","public class ReLoop {
    //Die main−Methode zur Ausgabe der Pyramide.
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        //So oft wiederholen wie Pyramide hoch ist.
        for (int i = 1; i <= height; i++) {
            //Druckt Leerzeichen
            for(int j = 0; j < height-i; j++) {
                Terminal.print("" "");
            }
            //Druckt *
            for(int j = 0; j < i*2; j++) {
                Terminal.print(""*"");
            }
            //Druckt Zeilenende
            Terminal.print(""\n"");
        }
    }
}","public class LeapYear {
      
    public static void main(String [] args) {
        int year = Terminal.askInt(""Bitte Jahreszahl eingeben. "");
        Terminal.println(""Das Jahr ""+year+"" ist ""+(isLeapYear(year)?"""":""k"")+""ein Schaltjahr."");
    }
    
    public static boolean isLeapYear(int year) {
        return ((year % 400 == 0)||((year % 100 != 0) && (year % 4 == 0))); 
    }
}","public class Loops {
    
    public static void main(String[] args) {
        for(int c = getCount(); c > 0; c = getCount()) {
            countdown(c);
        }
    }
    
    public static void countdown(int c) {
        while(c > 0) {
            Terminal.println(c);
            c--;
        }
        Terminal.println(""Start!"");
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
    
}"
Name_111,VName_111,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch (eingabe) {
            case 't' : Terminal.println(""Wir moegen dich auch."");
            break;
            case 's' : Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
            break;
            case 'l' : Terminal.println(""Giovanni, lernst du Programmieren?"");
            break;
            default :  Terminal.println(""Das stand gar nicht zur Auswahl."");
        }
	}

}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        for(int i = 1;i<=height;i++) {
            for(int j=0;j<height-i;j++) {
                Terminal.print("" "");
            }
            for(int j = 0;j<i*2;j++) {
                Terminal.print(""*"");
            }
            Terminal.print(""\n"");
        }
    }
}","public class LeapYear {
      
}","public class Loops {
    
    public static void main(String[] args) {
    countdown(getCount);
    }

    public static void countdown(int c) {
        while(c>=0){
            if(c == 0){
                System.out.println(""Start!"");
            }
            System.out.println(c);
        }
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_151,VName_151,"public class Menu {
	
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch (eingabe) {
		case 't':
			Terminal.println(""Wir moegen dich auch."");
		break;
		case 's':
			Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
		break;
		case 'l':
			Terminal.println(""Giovanni, lernst du Programmieren?"");
		break;
		default:
			Terminal.println(""Das stand gar nicht zur Auswahl."");
			break;
			}
	}
}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        int i = 1;
        for(i <= height) {
            int j = 0;
            while(j < height-i) {
                Terminal.print("" "");
                j++;
            }
            j = 0;
            while(j < i*2) {
                Terminal.print(""*"");
                j++;
            }
            Terminal.print(""\n"");
            i++;
        }
    }
}","public class LeapYear {
      
}","public class Loops {
    
    public static void main(String[] args) {
    
    int 
    
    public static void countdown(int c) {
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_148,VName_148,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
						 char eingabe = Terminal.readChar();
		switch (eingabe){
		case 't' :
			Terminal.println(""Wir moegen dich auch."");
			break;
		case 's':
		    Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
			break;
		case 'l':
			Terminal.println(""Giovanni, lernst du Programmieren?"");
			break;
		default:
			Terminal.println(""Das stand gar nicht zur Auswahl."");
		}
	}
}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        
        for(int i = 1;i <= height;i++) {
            for(int j = 0;j < height-i;j++) {
                Terminal.print("" "");
            }
            for(int j = 0;j < i*2;j++) {
                Terminal.print(""*"");
            }
            Terminal.print(""\n"");
        }
    }
}","public class LeapYear {
      public static void main (String[] args){
		  int jahr = Terminal.askInt(""Bitte Jahreszahl eingeben. "");
		  if(jahr%100==0){
			  if(jahr%400==0){
				  schaltjahr(jahr);
			  }
			  else{
				  keinschaltjahr(jahr);
			  }
		  }
		  else{
			  if(jahr%4==0){
				  schaltjahr(jahr);
			  }
			  else{
				  keinschaltjahr(jahr);
			  }
		  }
	  }
	  public static void schaltjahr (int jahr){
		  Terminal.println(""Das Jahr ""+jahr+"" ist ein Schaltjahr."");
	  }
	  public static void keinschaltjahr (int jahr){
		  Terminal.println(""Das Jahr ""+jahr+"" ist kein Schaltjahr."");
	  }
}","public class Loops {
    
    public static void main(String[] args) {
		for (int i=getCount();i>0;i=getCount()){
			countdown(i);
		}
    }
    
    public static void countdown(int c) {
		while (c>0){
			Terminal.println(c);
			c--;
		}
		Terminal.println(""Start!"");
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_127,VName_127,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		if(eingabe == 't') {
			Terminal.println(""Wir moegen dich auch."");
		}
		else if(eingabe == 's') {
		    Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
		}
		else if(eingabe == 'l') {
			Terminal.println(""Giovanni, lernst du Programmieren?"");
		}
		else {
			Terminal.println(""Das stand gar nicht zur Auswahl."");
		}
	}

}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        int i = 1;
        while(i <= height) {
            int j = 0;
            while(j < height-i) {
                Terminal.print("" "");
                j++;
            }
            j = 0;
            while(j < i*2) {
                Terminal.print(""*"");
                j++;
            }
            Terminal.print(""\n"");
            i++;
        }
    }
}","public class LeapYear {
      
}","public class Loops {
    
    public static void main(String[] args) {
    }
    
    public static void countdown(int c) {
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_156,VName_156,"public class Menu {

    public static void main(String [] args) {
        System.out.print(""Bitte auswaehlen...\n"" +
                ""\tPPR ist [t]oll\n"" +
                ""\tPPR [s]tinkt mir\n"" +
                ""\tPPR, Flasche [l]eer.\n\n"");
        char eingabe = Terminal.readChar();
        switch(eingabe) {
            case 't':
                Terminal.println(""Wir moegen dich auch."");
                break;

            case 's':
                Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
                break;

            case 'l':
                Terminal.println(""Giovanni, lernst du Programmieren?"");
                break;

            default:
                Terminal.println(""Das stand gar nicht zur Auswahl."");
                break;

        }
    }
}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        for(int i = 1;i <= height;i++) {

            for(int j=0 ;j< height-i;j++) {
                Terminal.print("" "");
            }

            for (int j = 0; j< i*2;j++) {
                Terminal.print(""*"");
            }
            Terminal.print(""\n"");
        }
    }
}","public class LeapYear {
    
    public static void main(String[] args){
        
        System.out.print(""Bitte Jahreszahl eingeben."");
        int year=Terminal.askInt("""");
        
        if(year%400==0){
            System.out.print("" Das Jahr ""+year+"" ist ein Schaltjahr."");
        }
        
        else if(year%4==0&&!(year%100==0)){
            System.out.print("" Das Jahr ""+year+"" ist ein Schaltjahr."");
        }
        
        else{
            System.out.print("" Das Jahr ""+year+"" ist kein Schaltjahr."");
        }
    }
}","public class Loops {


    public static void main(String[] args) {

        for (int i=0; i>=0; i++) {
            countdown(getCount());
        }
    }

    public static void countdown(int c) {
        if (c > 0) {
            while (c > 0) {
                System.out.println(c);
                c--;
                if (c == 0) {
                    System.out.println(""Start!"");
                }
            }
        }
        else{
            System.exit(0);
        }
    }


    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }

}"
Name_180,VName_180,"public class Menu {

	public static void main(String[] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
	             ""\tPPR ist [t]oll\n"" +
	             ""\tPPR [s]tinkt mir\n"" +
	             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
			switch(eingabe) {
			case 't':
				Terminal.println(""Wir moegen dich auch."");
				break;
			case 's':
				Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
				break;
			case 'l':
				Terminal.println(""Giovanni, lernst du Programmieren?"");
				break;
			default:
				Terminal.println(""Das stand gar nicht zur Auswahl."");
			}
		
	}
}","public class ReLoop {
	public static void main(String[] args) {
		int height = Terminal.askInt(""Pyramidenhoehe:\n"");
		for (int i = 1; i <= height; i++) {
			int j;
			for (j = 0; j < height - i; j++) {
				Terminal.print("" "");
			}
			for (j = 0; j < i * 2; j++) {
				Terminal.print(""*"");
			}
			Terminal.print(""\n"");
		}

	}
}","public class LeapYear {

	public static void main(String[] args) {
		Integer eingabe = Terminal.askInt(""Bitte Jahreszahl eingeben. "");
		if (eingabe % 400 == 0 || (eingabe % 4 == 0 && eingabe % 100 != 0)) {
			Terminal.println(""Das Jahr "" + eingabe + "" ist ein Schaltjahr."");
		} else {
			Terminal.println(""Das Jahr "" + eingabe + "" ist kein Schaltjahr."");
		}
	}

}","public class Loops {

	public static void main(String[] args) {

		for (int i = 0; i < 1; i--) {
			int zahl = getCount();
			if (zahl <= 0) {
				break;
			}
			countdown(zahl);

		}
	}

	public static void countdown(int c) {
		while (c > 0) {
			Terminal.println(c);
			c--;

		}
		Terminal.println(""Start!"");
		
	}

	public static int getCount() {
		return Terminal.askInt(""Countdown:\n"");
	}

}"
Name_518,VName_518,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch(eingabe) {
			case 't':
				Terminal.println(""Wir moegen dich auch."");
				break;
			case 's':
				Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
				break;
			case 'l':
				Terminal.println(""Giovanni, lernst du Programmieren?"");
				break;
			default:
				Terminal.println(""Das stand gar nicht zur Auswahl."");
				break;
		}
	}
}","public class ReLoop {
    
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
       
        for (int i = 1; i <= height; i++) {
           
            for(int j = 0; j < height-i; j++) {
                Terminal.print("" "");
            }
            
            for(int j = 0; j < i*2; j++) {
                Terminal.print(""*"");
            }
            
            Terminal.print(""\n"");
        }
    }
}","public class LeapYear {
      
     public static void main(String [] args) {
        int year = Terminal.askInt(""Bitte Jahreszahl eingeben. "");
        Terminal.println(""Das Jahr ""+year+"" ist ""+(isLeapYear(year)?"""":""k"")+""ein Schaltjahr."");
    }
    
    public static boolean isLeapYear(int year) {
        return ((year % 400 == 0)||((year % 100 != 0) && (year % 4 == 0))); 
    }  
}","public class Loops {
    
    public static void main(String[] args) {
        for(int c = getCount(); c > 0; c = getCount()) {
            countdown(c);
        }
    }
    
    public static void countdown(int c) {
        while(c > 0) {
            Terminal.println(c);
            c--;
        }
        Terminal.println(""Start!"");
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
    
}"
